id,name,date_birth,department,email,phonenumber,yearly_salary,city,hire_date,termination_date
76642,Carola Fernández,1975-03-14,Human Resources,carolafernandez@cod.diy.com,569-94259111,38907.23,Quillota,2020-06-24,
2764,Gian Araya Salas,1975-07-08,Sales,gianarayasalas@cod.diy.com,569-20799910,47440.92,Victoria,2020-07-22,
34676,Ariel Palacios,1977-01-27,IT,arielpalacios@cod.diy.com,569-81810560,41848.16,Renaico,2020-12-05,
12166,Armando José Rojas Ruiz,1989-07-16,Operations,armandojoserojasruiz@cod.diy.com,569-10063830,33770.86,Puqueldón,2023-11-24,2024-08-10
67014,Maribel Contreras Garrido,1978-08-15,Operations,maribelcontrerasgarrido@cod.diy.com,569-51964958,32656.74,Cholchol,2021-04-18,2022-02-13
19270,Ángela Jacqueline Luengo Bello,1987-03-20,Human Resources,angelajacquelineluengobello@cod.diy.com,569-14917732,34771.55,Alto del Carmen,2023-05-06,
12906,Nancy Lorena Valencia Paredes,1994-05-15,IT,nancylorenavalenciaparedes@cod.diy.com,569-85055737,41674.15,Toltén,2025-01-17,
1547,Marisol Leslie Aravena Silva,1992-02-19,Sales,marisollesliearavenasilva@cod.diy.com,569-23549795,45872.77,Putaendo,2024-07-07,
56090,Gerson Carlos Medina Cárdenas,1993-05-20,Sales,gersoncarlosmedinacardenas@cod.diy.com,569-21069163,41435.97,Río Negro,2024-10-23,
7871,Nilda Catalina Rojas Vargas,1989-06-25,Operations,nildacatalinarojasvargas@cod.diy.com,569-96129866,42065.69,Padre Hurtado,2023-11-19,
57760,Yesenia Plaza,1995-03-30,Sales,yeseniaplaza@cod.diy.com,569-47484297,40412.71,Villa Alegre,2025-04-03,
28831,Dominique Carvajal Candia,1976-01-06,Marketing,dominiquecarvajalcandia@cod.diy.com,569-68857510,38919.27,Pelarco,2020-09-03,
10358,Gustavo Hernández Arroyo,1981-01-13,Marketing,gustavohernandezarroyo@cod.diy.com,569-71734446,33102.43,La Serena,2021-11-14,
7311,Raúl Víctor Vera Castro,1975-10-27,IT,raulvictorveracastro@cod.diy.com,569-50131292,38820.06,Palena,2020-08-18,
57183,Luis Christopher Jiménez Valladares,1991-07-16,Marketing,luischristopherjimenezvalladares@cod.diy.com,569-18354862,35125.08,Laja,2024-05-16,
38491,José Retamal Novoa,1990-09-23,Operations,joseretamalnovoa@cod.diy.com,569-70435533,35137.59,Nueva Imperial,2024-03-06,
59888,Johanna Cecilia Flores Merino,1977-06-19,Finance,johannaceciliafloresmerino@cod.diy.com,569-84335467,30717.82,Calle Larga,2021-01-08,2021-09-17
7376,Ismael Bastián Zapata Parra,1989-06-22,Sales,ismaelbastianzapataparra@cod.diy.com,569-79413755,34507.92,Peralillo,2023-11-18,
41738,Mariela Camila Torres Rosales,1986-11-22,Operations,marielacamilatorresrosales@cod.diy.com,569-11810492,48263.52,Melipeuco,2023-04-08,
46183,Sergio Ítalo Torres Aránguiz,1993-04-08,Finance,sergioitalotorresaranguiz@cod.diy.com,569-57635940,44423.2,Constitución,2024-10-13,
82812,Claudio Patricio Acevedo Ramírez,1983-08-30,Marketing,claudiopatricioacevedoramirez@cod.diy.com,569-38849415,34311.53,Bulnes,2022-07-01,
43452,Emilia Paula Castillo Miranda,1988-02-26,Human Resources,emiliapaulacastillomiranda@cod.diy.com,569-50583823,37620.34,Pelarco,2023-07-27,
80544,Nicolás Méndez,1975-05-02,Marketing,nicolasmendez@cod.diy.com,569-38365779,38528.11,Linares,2020-07-06,2022-03-25
29406,Renata Ámbar Sáez Guerra,1990-03-25,Operations,renataambarsaezguerra@cod.diy.com,569-13048095,31596.96,Linares,2024-01-23,2024-03-27
58143,Cynthia Parraguez,1985-12-27,IT,cynthiaparraguez@cod.diy.com,569-54886364,41317.71,Llaillay,2023-01-19,
18270,Orlando Gustavo Azócar Villalobos,1987-10-31,Human Resources,orlandogustavoazocarvillalobos@cod.diy.com,569-83467711,46717.35,Teodoro Schmidt,2023-06-28,
68747,Matías Francisco Rojas Fernández,1985-02-08,IT,matiasfranciscorojasfernandez@cod.diy.com,569-48931282,49238.93,Coihaique,2022-11-03,2023-03-26
51762,María Carmen Caro Zúñiga,1976-12-11,Sales,mariacarmencarozuniga@cod.diy.com,569-54712241,37853.9,Purén,2020-11-23,
61571,Miguel Núñez Vargas,1981-03-09,Marketing,miguelnunezvargas@cod.diy.com,569-47967231,43764.15,Puqueldón,2021-11-27,
77691,Agustina Álvarez,1991-06-02,Sales,agustinaalvarez@cod.diy.com,569-80340213,37679.34,Padre Hurtado,2024-05-05,
59680,Claudio Inostroza Saavedra,1977-02-14,Finance,claudioinostrozasaavedra@cod.diy.com,569-93685284,44355.35,Panguipulli,2020-12-09,
22756,Álvaro Valdés,1978-08-18,Operations,alvarovaldes@cod.diy.com,569-46899869,40293.69,Ninhue,2021-04-19,
24503,Sebastián Mario Osorio Marchant,1984-09-30,Operations,sebastianmarioosoriomarchant@cod.diy.com,569-53179789,37583.7,Cobquecura,2022-10-03,
17982,Mauricio Amador Fierro Tapia,1992-04-10,Operations,mauricioamadorfierrotapia@cod.diy.com,569-17851194,35138.47,Nacimiento,2024-07-19,
71661,Edmundo Marcelo González Ramos,1979-11-17,Marketing,edmundomarcelogonzalezramos@cod.diy.com,569-47370658,31241.12,Camarones,2021-08-05,2023-12-17
40444,Nelson Santibáñez,1995-04-04,Human Resources,nelsonsantibanez@cod.diy.com,569-37725015,39002.29,Calle Larga,2025-04-04,2025-04-04
21191,Marta Lorena Molina Briones,1975-11-30,Human Resources,martalorenamolinabriones@cod.diy.com,569-18724846,36946.08,La Pintana,2020-08-26,2021-06-18
12255,Fabián Molina-Cruz,1975-01-27,Sales,fabianmolina-cruz@cod.diy.com,569-94537059,30389.44,Quirihue,2020-06-13,2025-02-21
61714,Javiera Díaz Peña,1987-04-21,Operations,javieradiazpena@cod.diy.com,569-26016058,32774.37,Tomé,2023-05-13,2025-03-08
29403,Francisco Vargas Aguirre,1983-12-13,IT,franciscovargasaguirre@cod.diy.com,569-27284717,31567.95,Quilleco,2022-07-26,
65387,Cecilia Katherine Alarcón Díaz,1994-03-26,IT,ceciliakatherinealarcondiaz@cod.diy.com,569-62243442,47461.15,La Cruz,2025-01-05,2025-03-16
