id,name,date_birth,department,email,phonenumber,yearly_salary,city,hire_date,termination_date,status,gender,job_title
57951,Margarita María Ruiz Vergara,1980-08-05,Sales,margarita.ruiz@coddiy.com,569-95999463,38187.05,Pitrufquén,2021-10-07,,Active,Female,Channel Sales Manager
16259,Sandra Aravena Zamorano,1992-06-13,Marketing,sandra.aravena@coddiy.com,569-80489026,48628.49,Tiltil,2024-08-03,,Active,Female,Social Media Manager
78823,Marcela Juana Silva Valenzuela,1983-10-28,Human Resources,marcela.silva@coddiy.com,569-88061832,45262.72,Purranque,2022-07-15,,Active,Female,HR Business Partner
67357,Julieta Florencia Vilches Quezada,1979-01-06,Marketing,julieta.vilches@coddiy.com,569-96315395,36967.37,Curarrehue,2021-05-22,,Active,Female,Email Marketing Coordinator
43012,Catherine Acuña,1981-05-24,Human Resources,catherine.acuna@coddiy.com,569-27113087,30975.05,San Pedro,2021-12-15,2023-01-13,Inactive,Male,HR Generalist
14495,Pablo Joaquín Bello Sepúlveda,1974-12-02,Operations,pablo.bello@coddiy.com,569-18950416,43118.94,Villa Alegre,2020-05-31,,Active,Male,Supply Chain Analyst
82095,Mariana Cabello Oyarzo,1985-07-12,IT,mariana.cabello@coddiy.com,569-87558792,31463.93,Vicuña,2022-12-10,,Active,Female,DevOps Engineer
26633,Gary Ángel Matamala González,1986-08-05,IT,gary.matamala@coddiy.com,569-21626052,35403.67,Rauco,2023-03-13,,Active,Male,Help Desk Technician
11483,Clara María Muñoz Ramírez,1987-01-22,Human Resources,clara.munoz@coddiy.com,569-59113488,30447.55,Mulchén,2023-04-22,2025-01-08,Inactive,Female,Organizational Development Specialist
933,Artemio Maximiliano Garcés Donoso,1977-12-12,IT,artemio.garces@coddiy.com,569-15172438,37448.79,La Granja,2021-02-18,,Active,Male,Help Desk Technician
22271,Julieta Barría Henríquez,1976-01-06,Marketing,julieta.barria@coddiy.com,569-77499416,33682.82,Victoria,2020-09-03,,Active,Female,Graphic Designer
10764,Anaís Johana Vargas Cabezas,1993-12-26,IT,anais.vargas@coddiy.com,569-51786910,45351.75,Pichilemu,2024-12-15,2025-02-19,Inactive,Male,IT Project Manager
22221,Raúl Ricardo Díaz Arce,1976-07-27,Marketing,raul.diaz@coddiy.com,569-80360312,34795.56,Alto Biobío,2020-10-22,,Active,Male,Graphic Designer
32910,Fernanda Barría Rubilar,1988-04-29,Marketing,fernanda.barria@coddiy.com,569-98488748,41222.15,Isla de Maipo,2023-08-11,,Active,Female,Content Marketing Manager
72263,Daniela Cornejo,1986-06-20,Marketing,daniela.cornejo@coddiy.com,569-74290092,31584.21,Cartagena,2023-03-02,,Active,Female,PR Manager
4192,Lucas Sánchez,1994-12-06,Finance,lucas.sanchez@coddiy.com,569-35521631,46349.99,Curacautín,2025-03-07,2025-03-19,Inactive,Male,Budget Analyst
81362,María Camila Orellana Gutiérrez,1976-04-19,Sales,maria.orellana@coddiy.com,569-93384498,32469.53,Hualaihué,2020-09-28,,Active,Female,Inside Sales Associate
49899,Miguel Rodrigo Montecinos Morales,1988-09-09,IT,miguel.montecinos@coddiy.com,569-73452469,41351.21,Putaendo,2023-09-11,2024-11-30,Inactive,Male,QA Engineer
76309,Fabián Juan Vargas Hidalgo,1980-04-20,Marketing,fabian.vargas@coddiy.com,569-78954454,35706.19,Lumaco,2021-09-11,2024-11-17,Inactive,Male,PPC Specialist
74821,Jaime Juan Bello Tapia,1985-07-22,IT,jaime.bello@coddiy.com,569-23573891,45613.38,Santa Cruz,2022-12-12,,Active,Male,IT Project Manager
41767,Denisse Díaz-Sánchez,1990-07-11,IT,denisse.diaz-sanchez@coddiy.com,569-70052153,43336.53,Valdivia,2024-02-18,2025-01-14,Inactive,Male,Systems Administrator
43672,Anaís Toledo Díaz,1992-01-18,IT,anais.toledo@coddiy.com,569-55952617,49030.65,San Javier,2024-06-29,,Active,Male,IT Project Manager
79936,María Valenzuela Salazar,1993-04-28,Marketing,maria.valenzuela@coddiy.com,569-31882120,37819.45,Chañaral,2024-10-18,,Active,Female,Growth Marketing Manager
58184,Juan Cerda Reyes,1987-01-09,IT,juan.cerda@coddiy.com,569-57013089,36982.55,Alhué,2023-04-19,,Active,Male,Data Engineer
81781,Amy Delgado Caro,1988-02-18,Marketing,amy.delgado@coddiy.com,569-20482255,37384.33,Chile Chico,2023-07-25,,Active,Male,Product Marketing Manager
69680,Ana Mónica González Ruiz,1988-01-29,IT,ana.gonzalez@coddiy.com,569-40948216,49043.08,Dalcahue,2023-07-20,,Active,Female,Help Desk Technician
34613,Carlos Rubilar,1975-12-16,IT,carlos.rubilar@coddiy.com,569-90437260,35683.54,Ercilla,2020-08-29,,Active,Male,Machine Learning Engineer
58183,Renata Juana Valenzuela Hurtado,1989-03-07,Marketing,renata.valenzuela@coddiy.com,569-48689674,39926.07,Cochrane,2023-10-24,,Active,Female,Email Marketing Coordinator
79272,Oscar Salomón Lobos López,1975-03-27,Human Resources,oscar.lobos@coddiy.com,569-94740380,40030.82,Andacollo,2020-06-28,2021-03-16,Inactive,Male,Compensation and Benefits Analyst
42719,Ignacio Rojas,1981-03-01,Marketing,ignacio.rojas@coddiy.com,569-93663082,37365.29,San Esteban,2021-11-25,,Active,Male,Product Marketing Manager
35636,David Manuel Sánchez Pardo,1992-10-15,Finance,david.sanchez@coddiy.com,569-81379449,33018.72,Navidad,2024-09-02,2024-12-22,Inactive,Male,Payroll Analyst
76648,Jorge Raúl Flores Velásquez,1993-09-10,IT,jorge.flores@coddiy.com,569-25139076,35027.71,Pichilemu,2024-11-19,,Active,Male,Mobile App Developer
72278,Andrea Carolina Gómez Santana,1991-06-26,Sales,andrea.gomez@coddiy.com,569-56677399,49435.35,Chonchi,2024-05-11,,Active,Female,Lead Generation Specialist
20619,Mateo Patricio Rosas Yáñez,1984-02-22,Human Resources,mateo.rosas@coddiy.com,569-43544120,43522.46,Cisnes,2022-08-12,2023-09-07,Inactive,Male,Compensation and Benefits Analyst
32760,María Sofía López Ríos,1989-11-03,Marketing,maria.lopez@coddiy.com,569-94355844,38964.29,Puerto Octay,2023-12-20,,Active,Female,Marketing Specialist
